Loss: 3.1935818195343018, Precision: 0.7599999904632568, Recall: 1.0, AUC: 0.950138509273529, Accuracy: 0.8421052694320679
Loss: 1.0992294549942017, Precision: 0.6666666865348816, Recall: 1.0, AUC: 0.8999999761581421, Accuracy: 0.7916666865348816
Loss: 1.3105547428131104, Precision: 1.0, Recall: 0.6000000238418579, AUC: 1.0, Accuracy: 0.7142857313156128
Loss: 0.28828850388526917, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.8379261493682861, Precision: 0.6521739363670349, Recall: 1.0, AUC: 0.9016667008399963, Accuracy: 0.7714285850524902
Loss: 0.15061990916728973, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.6995806097984314, Precision: 0.5384615659713745, Recall: 1.0, AUC: 0.701785683631897, Accuracy: 0.6470588445663452
Loss: 0.6675992608070374, Precision: 0.7777777910232544, Recall: 0.699999988079071, AUC: 0.8319444060325623, Accuracy: 0.7368420958518982
Loss: 0.5037873387336731, Precision: 1.0, Recall: 0.800000011920929, AUC: 0.9666666388511658, Accuracy: 0.9090909361839294
Loss: 0.5362242460250854, Precision: 0.75, Recall: 0.8999999761581421, AUC: 0.9199999570846558, Accuracy: 0.8399999737739563
Loss: 0.14267168939113617, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 1.3269212245941162, Precision: 0.6666666865348816, Recall: 1.0, AUC: 0.25, Accuracy: 0.6666666865348816
Loss: 0.8446337580680847, Precision: 0.6666666865348816, Recall: 0.8333333134651184, AUC: 0.7760416269302368, Accuracy: 0.7083333134651184
Loss: 0.38293251395225525, Precision: 0.7916666865348816, Recall: 1.0, AUC: 0.9210526347160339, Accuracy: 0.8780487775802612
Loss: 0.36348193883895874, Precision: 0.8333333134651184, Recall: 1.0, AUC: 0.9545454382896423, Accuracy: 0.9375
Loss: 0.1912117451429367, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.8373987078666687, Precision: 0.7777777910232544, Recall: 1.0, AUC: 0.6904761791229248, Accuracy: 0.800000011920929
Loss: 0.3014088571071625, Precision: 0.9523809552192688, Recall: 0.9523809552192688, AUC: 0.9423558712005615, Accuracy: 0.949999988079071
Loss: 0.7165520191192627, Precision: 0.7142857313156128, Recall: 1.0, AUC: 0.8428571224212646, Accuracy: 0.8333333134651184
