Loss: 5.398684501647949, Precision: 0.0, Recall: 0.0, AUC: 0.0, Accuracy: 1.0
Loss: 1.8296040296554565, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.7666922807693481, Precision: 0.875, Recall: 0.875, AUC: 0.9246324300765991, Accuracy: 0.8787878751754761
Loss: 0.47324106097221375, Precision: 0.8571428656578064, Recall: 1.0, AUC: 0.8690476417541504, Accuracy: 0.9230769276618958
Loss: 0.4942822754383087, Precision: 0.7777777910232544, Recall: 1.0, AUC: 1.0, Accuracy: 0.8947368264198303
Loss: 0.47508740425109863, Precision: 0.9090909361839294, Recall: 0.8695651888847351, AUC: 0.9382151365280151, Accuracy: 0.8809523582458496
Loss: 0.1217380166053772, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.2644259035587311, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.9843761920928955, Precision: 0.5, Recall: 0.6000000238418579, AUC: 0.6833333373069763, Accuracy: 0.5454545617103577
Loss: 0.3225351572036743, Precision: 0.0, Recall: 0.0, AUC: 0.0, Accuracy: 1.0
Loss: 0.7556278109550476, Precision: 1.0, Recall: 0.5, AUC: 0.5, Accuracy: 0.6666666865348816
Loss: 0.48582983016967773, Precision: 0.8125, Recall: 0.9285714030265808, AUC: 0.9285714626312256, Accuracy: 0.8666666746139526
Loss: 0.4764787554740906, Precision: 0.800000011920929, Recall: 0.9230769276618958, AUC: 0.9278846383094788, Accuracy: 0.8620689511299133
Loss: 0.26919013261795044, Precision: 0.8333333134651184, Recall: 1.0, AUC: 1.0, Accuracy: 0.9166666865348816
Loss: 0.484997421503067, Precision: 0.7368420958518982, Recall: 1.0, AUC: 0.8616070747375488, Accuracy: 0.8333333134651184
Loss: 0.5544763207435608, Precision: 0.6666666865348816, Recall: 1.0, AUC: 0.84375, Accuracy: 0.800000011920929
Loss: 0.13113956153392792, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.6967316269874573, Precision: 0.699999988079071, Recall: 1.0, AUC: 0.5952380895614624, Accuracy: 0.699999988079071
Loss: 0.41562217473983765, Precision: 0.8461538553237915, Recall: 1.0, AUC: 0.8571428060531616, Accuracy: 0.8888888955116272
Loss: 0.4285769760608673, Precision: 0.6666666865348816, Recall: 1.0, AUC: 1.0, Accuracy: 0.75
Loss: 0.0937827005982399, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.5304791331291199, Precision: 0.7777777910232544, Recall: 1.0, AUC: 0.9508928656578064, Accuracy: 0.8666666746139526
Loss: 0.5567094683647156, Precision: 0.6896551847457886, Recall: 1.0, AUC: 0.855555534362793, Accuracy: 0.7631579041481018
Loss: 2.00331974029541, Precision: 1.0, Recall: 0.4285714328289032, AUC: 0.8571428656578064, Accuracy: 0.6000000238418579
Loss: 0.4627579152584076, Precision: 0.6666666865348816, Recall: 1.0, AUC: 0.875, Accuracy: 0.8333333134651184
Loss: 0.6904301047325134, Precision: 0.692307710647583, Recall: 0.8999999761581421, AUC: 0.804545521736145, Accuracy: 0.761904776096344
Loss: 0.3398623764514923, Precision: 0.8333333134651184, Recall: 1.0, AUC: 0.9321428537368774, Accuracy: 0.9166666865348816
Loss: 0.2614283263683319, Precision: 0.9411764740943909, Recall: 1.0, AUC: 0.9416666030883789, Accuracy: 0.9677419066429138
Loss: 0.599786639213562, Precision: 0.800000011920929, Recall: 0.7272727489471436, AUC: 0.8347107172012329, Accuracy: 0.7727272510528564
Loss: 0.6586106419563293, Precision: 0.800000011920929, Recall: 0.5714285969734192, AUC: 0.8571428656578064, Accuracy: 0.6000000238418579
Loss: 0.5126590728759766, Precision: 0.6666666865348816, Recall: 1.0, AUC: 1.0, Accuracy: 0.800000011920929
